repository,file_path,line_number,target_name,cache_type,is_explicit,strategy_category,cache_options,enclosing_class,enclosing_function,file_url,code_snippet
dask/dask,dask/bytes/core.py,168,OpenFile,NOT_EXPLICIT,False,Implicit Default,None,None,read_bytes,https://github.com/dask/dask/blob/main/dask/bytes/core.py#L168,"        with OpenFile(fs, paths[0], compression=compression) as f:"
dask/dask,dask/bytes/core.py,194,read_block,NOT_EXPLICIT,False,Implicit Default,None,None,read_block_from_file,https://github.com/dask/dask/blob/main/dask/bytes/core.py#L194,"        return read_block(f, off, bs, delimiter)"
dask/dask,dask/config.py,179,open,NOT_EXPLICIT,False,Implicit Default,None,None,_load_config_file,https://github.com/dask/dask/blob/main/dask/config.py#L179,        with open(path) as f:
dask/dask,dask/config.py,352,open,NOT_EXPLICIT,False,Implicit Default,None,None,ensure_file,https://github.com/dask/dask/blob/main/dask/config.py#L352,            with open(source) as f:
dask/dask,dask/config.py,361,open,NOT_EXPLICIT,False,Implicit Default,None,None,ensure_file,https://github.com/dask/dask/blob/main/dask/config.py#L361,"            with open(tmp, ""w"") as f:"
dask/dask,dask/config.py,888,open,NOT_EXPLICIT,False,Implicit Default,None,None,_initialize,https://github.com/dask/dask/blob/main/dask/config.py#L888,    with open(fn) as f:
dask/dask,dask/dataframe/dask_expr/io/parquet.py,1781,fs.open,NOT_EXPLICIT,False,Implicit Default,None,None,_read_partition_stats,https://github.com/dask/dask/blob/main/dask/dataframe/dask_expr/io/parquet.py#L1781,"            with fs.open(path, default_cache=""none"") as f:"
dask/dask,dask/dataframe/io/csv.py,911,open_file,NOT_EXPLICIT,False,Implicit Default,None,None,to_csv,https://github.com/dask/dask/blob/main/dask/dataframe/io/csv.py#L911,"        first_file = open_file(filename, mode=mode, **file_options)"
dask/dask,dask/dataframe/io/csv.py,915,open_file,NOT_EXPLICIT,False,Implicit Default,None,None,to_csv,https://github.com/dask/dask/blob/main/dask/dataframe/io/csv.py#L915,"        append_file = open_file(filename, mode=append_mode, **file_options)"
dask/dask,dask/dataframe/io/csv.py,922,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,to_csv,https://github.com/dask/dask/blob/main/dask/dataframe/io/csv.py#L922,"        files = open_files(             filename,             mode=mode,             name_function=name_function,             num=df.npartitions,             **file_options,         )"
dask/dask,dask/dataframe/io/json.py,78,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,to_json,https://github.com/dask/dask/blob/main/dask/dataframe/io/json.py#L78,"    outfiles = open_files(         url_path,         ""wt"",         encoding=encoding,         errors=errors,         name_function=name_function,         num=df.npartitions,         compression=compression,         **(storage_options or {}),     )"
dask/dask,dask/dataframe/io/json.py,268,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,read_json,https://github.com/dask/dask/blob/main/dask/dataframe/io/json.py#L268,"        files = open_files(             url_path,             ""rt"",             encoding=encoding,             errors=errors,             compression=compression,             **storage_options,         )"
dask/dask,dask/dataframe/io/orc/arrow.py,39,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowORCEngine,read_metadata,https://github.com/dask/dask/blob/main/dask/dataframe/io/orc/arrow.py#L39,"                with fs.open(path, ""rb"") as f:"
dask/dask,dask/dataframe/io/orc/arrow.py,60,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowORCEngine,read_metadata,https://github.com/dask/dask/blob/main/dask/dataframe/io/orc/arrow.py#L60,"                    with fs.open(paths[0], ""rb"") as f:"
dask/dask,dask/dataframe/io/orc/arrow.py,111,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowORCEngine,write_partition,https://github.com/dask/dask/blob/main/dask/dataframe/io/orc/arrow.py#L111,"        with fs.open(fs.sep.join([path, filename]), ""wb"") as f:"
dask/dask,dask/dataframe/io/orc/arrow.py,122,fs.open,NOT_EXPLICIT,False,Implicit Default,None,None,_read_orc_stripes,https://github.com/dask/dask/blob/main/dask/dataframe/io/orc/arrow.py#L122,"    with fs.open(path, ""rb"") as f:"
dask/dask,dask/dataframe/io/parquet/arrow.py,150,fs.open,NOT_EXPLICIT,False,Implicit Default,None,None,_write_partitioned,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L150,"        with fs.open(full_path, ""wb"") as f:"
dask/dask,dask/dataframe/io/parquet/arrow.py,684,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,initialize_write,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L684,"                    with fs.open(fs.sep.join([path, ""_metadata""]), mode=""rb"") as fil:"
dask/dask,dask/dataframe/io/parquet/arrow.py,690,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,initialize_write,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L690,"                        with fs.open(                             sorted(ds.files, key=natural_sort_key)[-1], mode=""rb""                         ) as fil:"
dask/dask,dask/dataframe/io/parquet/arrow.py,851,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,write_partition,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L851,"            with fs.open(fs.sep.join([path, filename]), ""wb"") as fil:"
dask/dask,dask/dataframe/io/parquet/arrow.py,882,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,write_metadata,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L882,"                with fs.open(common_metadata_path, ""wb"") as fil:"
dask/dask,dask/dataframe/io/parquet/arrow.py,895,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,write_metadata,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L895,"            with fs.open(metadata_path, ""wb"") as fil:"
dask/dask,dask/dataframe/io/parquet/arrow.py,1820,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,collect_file_metadata,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L1820,"        with fs.open(path, ""rb"") as f:"
dask/dask,dask/dataframe/io/parquet/arrow.py,1836,fs.open,NOT_EXPLICIT,False,Implicit Default,None,ArrowDatasetEngine,aggregate_metadata,https://github.com/dask/dask/blob/main/dask/dataframe/io/parquet/arrow.py#L1836,"            with fs.open(metadata_path, ""wb"") as fil:"
dask/dask,dask/dataframe/io/utils.py,210,fsspec_parquet.open_parquet_file,parts,True,Columnar / Section Caching,None,None,_open_input_files,https://github.com/dask/dask/blob/main/dask/dataframe/io/utils.py#L210,"                fsspec_parquet.open_parquet_file(                     path,                     fs=fs,                     row_groups=rgs,                     **kwargs,                 ),"
dask/dask,dask/dataframe/io/utils.py,221,fs.open,parts,True,Columnar / Section Caching,None,None,_open_input_files,https://github.com/dask/dask/blob/main/dask/dataframe/io/utils.py#L221,"        return [_set_context(fs.open(path, **kwargs), context_stack) for path in paths]"
dask/dask,dask/dataframe/io/utils.py,222,open,parts,True,Columnar / Section Caching,None,None,_open_input_files,https://github.com/dask/dask/blob/main/dask/dataframe/io/utils.py#L222,"    return [_set_context(open(path, **kwargs), context_stack) for path in paths]"
dask/dask,dask/dot.py,312,open,NOT_EXPLICIT,False,Implicit Default,None,None,graphviz_to_file,https://github.com/dask/dask/blob/main/dask/dot.py#L312,"    with open(full_filename, ""wb"") as f:"
dask/dask,dask/system.py,22,open,NOT_EXPLICIT,False,Implicit Default,None,None,_try_extract_cgroup_cpu_quota,https://github.com/dask/dask/blob/main/dask/system.py#L22,"            with open(f""/sys/fs/cgroup/{dirname}/cpu.cfs_quota_us"") as f:"
dask/dask,dask/system.py,24,open,NOT_EXPLICIT,False,Implicit Default,None,None,_try_extract_cgroup_cpu_quota,https://github.com/dask/dask/blob/main/dask/system.py#L24,"            with open(f""/sys/fs/cgroup/{dirname}/cpu.cfs_period_us"") as f:"
dask/dask,dask/system.py,32,open,NOT_EXPLICIT,False,Implicit Default,None,None,_try_extract_cgroup_cpu_quota,https://github.com/dask/dask/blob/main/dask/system.py#L32,"        with open(""/proc/self/cgroup"") as f:"
dask/dask,dask/system.py,36,open,NOT_EXPLICIT,False,Implicit Default,None,None,_try_extract_cgroup_cpu_quota,https://github.com/dask/dask/blob/main/dask/system.py#L36,"        with open(f""/sys/fs/cgroup{group_path}cpu.max"") as f:"
dask/dask,dask/utils.py,415,open,NOT_EXPLICIT,False,Implicit Default,None,None,filetext,https://github.com/dask/dask/blob/main/dask/utils.py#L415,"        f = open(filename, mode=mode)"
dask/dask,dask/utils.py,483,open,NOT_EXPLICIT,False,Implicit Default,None,None,filetexts,https://github.com/dask/dask/blob/main/dask/utils.py#L483,"            f = open(filename, f""w{mode}"")"
intake/intake,docs/make_api.py,8,open,NOT_EXPLICIT,False,Implicit Default,None,None,run,https://github.com/intake/intake/blob/master/docs/make_api.py#L8,"    with open(fn, ""w"") as f:"
intake/intake,docs/plugins.py,38,open,NOT_EXPLICIT,False,Implicit Default,None,None,generate_plugin_table,https://github.com/intake/intake/blob/master/docs/plugins.py#L38,"    plugins = yaml.safe_load(open(""plugins.yaml"", ""rb""))"
intake/intake,intake/catalog/base.py,341,open_files,NOT_EXPLICIT,False,Implicit Default,None,Catalog,save,https://github.com/intake/intake/blob/master/intake/catalog/base.py#L341,"        with open_files([url], **(storage_options or {}), mode=""wt"")[0] as f:"
intake/intake,intake/catalog/local.py,639,open_files,NOT_EXPLICIT,False,Implicit Default,None,YAMLFileCatalog,_load,https://github.com/intake/intake/blob/master/intake/catalog/local.py#L639,"                file_open = open_files(self.path, mode=""rb"", **options)"
intake/intake,intake/catalog/local.py,690,open_files,NOT_EXPLICIT,False,Implicit Default,None,YAMLFileCatalog,add,https://github.com/intake/intake/blob/master/intake/catalog/local.py#L690,"            file_open = open_files([self.path], mode=""wt"", **options)"
intake/intake,intake/catalog/local.py,693,open_files,NOT_EXPLICIT,False,Implicit Default,None,YAMLFileCatalog,add,https://github.com/intake/intake/blob/master/intake/catalog/local.py#L693,"            file_open = open_files([path], mode=""wt"", **options)"
intake/intake,intake/catalog/local.py,805,open_files,NOT_EXPLICIT,False,Implicit Default,None,YAMLFilesCatalog,_load,https://github.com/intake/intake/blob/master/intake/catalog/local.py#L805,"            files = sum([open_files(p, mode=""rb"", **options) for p in self.path], [])"
intake/intake,intake/catalog/local.py,812,open_files,NOT_EXPLICIT,False,Implicit Default,None,YAMLFilesCatalog,_load,https://github.com/intake/intake/blob/master/intake/catalog/local.py#L812,"            files = open_files(self.path, mode=""rb"", **options)"
intake/intake,intake/config.py,83,open,NOT_EXPLICIT,False,Implicit Default,None,Config,save,https://github.com/intake/intake/blob/master/intake/config.py#L83,"        with open(fn, ""w"") as f:"
intake/intake,intake/config.py,153,open,NOT_EXPLICIT,False,Implicit Default,None,Config,load,https://github.com/intake/intake/blob/master/intake/config.py#L153,            with open(fn) as f:
intake/intake,intake/readers/catalogs.py,376,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,STACIndex,_read,https://github.com/intake/intake/blob/master/intake/readers/catalogs.py#L376,"        with fsspec.open(""https://stacindex.org/api/catalogs"") as f:"
intake/intake,intake/readers/datatypes.py,1932,fs.cat_file,NOT_EXPLICIT,False,Implicit Default,None,None,recommend,https://github.com/intake/intake/blob/master/intake/readers/datatypes.py#L1932,"            head = fs.cat_file(url2[0] if isinstance(url2, list) else url2, end=2**20)"
intake/intake,intake/readers/entry.py,420,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,Catalog,to_yaml_file,https://github.com/intake/intake/blob/master/intake/readers/entry.py#L420,"        with fsspec.open(path, mode=""wt"", **storage_options) as stream:"
intake/intake,intake/readers/entry.py,432,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,Catalog,from_yaml_file,https://github.com/intake/intake/blob/master/intake/readers/entry.py#L432,"        of = fsspec.open(path, **storage_options)"
intake/intake,intake/readers/output.py,125,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,NumpyToNumpyFile,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L125,"            with fsspec.open(path, **storage_options) as f:"
intake/intake,intake/readers/output.py,158,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,MatplotlibToPNG,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L158,"        with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/output.py,293,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,NumpyToPNG,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L293,"        with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/output.py,320,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,NumpyToTIFF,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L320,"            with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/output.py,337,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PILImageToPNG,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L337,"        with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/output.py,353,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PILImageToJPEG,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L353,"        with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/output.py,368,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PILImageToTIFF,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L368,"        with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/output.py,402,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,NumpyToWAV,run,https://github.com/intake/intake/blob/master/intake/readers/output.py#L402,"            with fsspec.open(url, mode=""wb"", **(storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,264,_fs.cat_file,NOT_EXPLICIT,False,Implicit Default,None,FileReader,_sniff_head,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L264,"            head = _fs.cat_file(url2, start=0, end=nbytes)"
intake/intake,intake/readers/readers.py,723,open,NOT_EXPLICIT,False,Implicit Default,None,LlamaServerReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L723,"        f = open(log_file, ""wb"")"
intake/intake,intake/readers/readers.py,736,fsspec.open_local,NOT_EXPLICIT,False,Implicit Default,None,LlamaServerReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L736,"                path = fsspec.open_local(f""simplecache::{v}"")"
intake/intake,intake/readers/readers.py,923,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,SKLearnModelReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L923,"        with fsspec.open(data.url, **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1000,h.cat,NOT_EXPLICIT,False,Implicit Default,None,HandleToUrlReader,_extract,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1000,"            rr = h.cat([f""{base}/{u.lstrip('hdl:/')}"" for u in ids])"
intake/intake,intake/readers/readers.py,1007,h.cat,NOT_EXPLICIT,False,Implicit Default,None,HandleToUrlReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1007,"        r = h.cat(f""{base}/{data.url.lstrip('hdl:/')}"")"
intake/intake,intake/readers/readers.py,1044,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PandasHDF5,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1044,"            with fsspec.open(data.url, ""rb"", **data.storage_options) as f:"
intake/intake,intake/readers/readers.py,1286,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PythonModule,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1286,"        with fsspec.open(data.url, ""rt"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1318,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,NumpyText,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1318,"            with fsspec.open(data.url, **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1415,fsspec.open_local,NOT_EXPLICIT,False,Implicit Default,None,XArrayDatasetReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1415,"                ofs = fsspec.open_local(data.url, **(data.storage_options or {}))"
intake/intake,intake/readers/readers.py,1419,fsspec.open_files,NOT_EXPLICIT,False,Implicit Default,None,XArrayDatasetReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1419,"                ofs0 = fsspec.open_files(data.url, **(data.storage_options or {}))"
intake/intake,intake/readers/readers.py,1433,fsspec.open_local,NOT_EXPLICIT,False,Implicit Default,None,XArrayDatasetReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1433,"                    f = fsspec.open_local(data.url, **(data.storage_options or {}))"
intake/intake,intake/readers/readers.py,1436,"fsspec.open(data.url, **data.storage_options or {}).open",NOT_EXPLICIT,False,Implicit Default,None,XArrayDatasetReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1436,"                    f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1436,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,XArrayDatasetReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1436,"                    f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1513,fsspec.open_files,NOT_EXPLICIT,False,Implicit Default,None,RasterIOXarrayReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1513,"        ofs = fsspec.open_files(data.url, **(data.storage_options or {}))"
intake/intake,intake/readers/readers.py,1578,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,GeoPandasReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1578,"            with fsspec.open(data.url, **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1600,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,ScipyMatrixMarketReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1600,"        with fsspec.open(data.url, **data.storage_options) as f:"
intake/intake,intake/readers/readers.py,1612,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,NibabelNiftiReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1612,"        with fsspec.open(data.url, **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1639,"fsspec.open(data.url, **data.storage_options or {}).open",NOT_EXPLICIT,False,Implicit Default,None,ASDFReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1639,"            f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1639,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,ASDFReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1639,"            f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1653,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,DicomReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1653,"        with fsspec.open(data.url, **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1683,"fsspec.open(data.url, **data.storage_options or {}).open",NOT_EXPLICIT,False,Implicit Default,None,PMTileReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1683,"            f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1683,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PMTileReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1683,"            f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1690,open,NOT_EXPLICIT,False,Implicit Default,None,PMTileReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1690,            f = open(data.url)
intake/intake,intake/readers/readers.py,1889,"fsspec.open(data.url, **data.storage_options or {}).open",NOT_EXPLICIT,False,Implicit Default,None,GeoPandasTabular,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1889,"            f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1889,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,GeoPandasTabular,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1889,"            f = fsspec.open(data.url, **(data.storage_options or {})).open()"
intake/intake,intake/readers/readers.py,1971,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,MessagePackReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1971,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,1998,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,MarkdownReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L1998,"        with fsspec.open(data.url, ""r"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2005,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,MarkdownReader,discover,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2005,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2036,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,TOMLReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2036,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2081,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,INIReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2081,"        with fsspec.open(data.url, ""r"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2113,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PDFTextReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2113,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2251,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PILImageReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2251,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2468,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,BioPythonFASTAReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2468,"        with fsspec.open(data.url, ""r"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2664,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,GGUFMetadataReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2664,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2751,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,PMTilesMetadataReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2751,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2847,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,OSMPBFMetadataReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2847,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,2980,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,SKLearnModelMetadataReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L2980,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,3073,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,TorchModelMetadataReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L3073,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as raw_f:"
intake/intake,intake/readers/readers.py,3135,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,JoblibMetadataReader,_read,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L3135,"        with fsspec.open(data.url, ""rb"", **(data.storage_options or {})) as f:"
intake/intake,intake/readers/readers.py,3513,fsspec.open_local,NOT_EXPLICIT,False,Implicit Default,None,None,_as_local,https://github.com/intake/intake/blob/master/intake/readers/readers.py#L3513,"        return fsspec.open_local(             f""simplecache::{url}"", **{""simplecache"": {}, **(data.storage_options or {})}         )"
intake/intake,intake/readers/search.py,126,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,EnvironmentSatisfied,_is_consistent,https://github.com/intake/intake/blob/master/intake/readers/search.py#L126,"                with fsspec.open(env, ""rt"") as f:"
intake/intake,intake/readers/search.py,128,open,NOT_EXPLICIT,False,Implicit Default,None,EnvironmentSatisfied,_is_consistent,https://github.com/intake/intake/blob/master/intake/readers/search.py#L128,"            with open(fn, ""wt"") as f:"
intake/intake,intake/source/jsonfiles.py,74,fsspec.open,NOT_EXPLICIT,False,Implicit Default,None,JSONFileSource,read,https://github.com/intake/intake/blob/master/intake/source/jsonfiles.py#L74,"        with fsspec.open(             urlpath,             mode=self.mode,             encoding=self.encoding,             compression=self.compression,             **self._storage_options,         ) as f:"
