repository,issue_number,title,html_url,state,relevance_score,labels,matched_fs_keywords,matched_perf_keywords,author,created_at,body_snippet
pandas-dev/pandas,66605,BUG: cumsum/cumprod raises ArrowInvalid: overflow on integer ArrowDtypes instead of upcasting,https://github.com/pandas-dev/pandas/issues/66605,open,24,"Bug, Needs Discussion, Arrow",fsspec,"hang, io, stall, stalled",arunkpe,2026-08-02T19:02:44Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66490,BUG: `factorize(use_na_sentinel=True)` ignores `use_na_sentinel` for pre-encoded PyArrow `DictionaryArray`s,https://github.com/pandas-dev/pandas/issues/66490,open,21,"Bug, Algos, Arrow","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",camriddell,2026-07-27T20:11:43Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,65892,BUG: Inconsistent nan to None behaviour in replace() with scalar vs list value,https://github.com/pandas-dev/pandas/issues/65892,open,21,"Bug, Missing-data, Strings, replace","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",veenstrajelmer,2026-06-16T14:36:31Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66656,BUG: Passing a tuple at creation for 1-d  index in df is fine but rename_axis with tuple fails,https://github.com/pandas-dev/pandas/issues/66656,open,18,"Bug, Indexing","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",loicdiridollou,2026-08-08T01:35:13Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66527,BUG: DataFrame.loc assignment with boolean column indexer raises NotImplementedError for single-column DataFrame,https://github.com/pandas-dev/pandas/issues/66527,open,18,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kanade-ao,2026-07-29T06:42:14Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66499,BUG: DataFrame.eq() incorrectly rejects scalar strings in type annotations,https://github.com/pandas-dev/pandas/issues/66499,open,18,"Docs, Typing","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",Sascha1505,2026-07-28T06:11:08Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66374,BUG: `MultiIndex.__repr__`: inconsistent output,https://github.com/pandas-dev/pandas/issues/66374,open,18,"Output-Formatting, MultiIndex","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kuraga,2026-07-19T10:28:33Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66368,BUG: `str.split()`/`rsplit()` with no separator on `ArrowDtype` keeps empty whitespace tokens,https://github.com/pandas-dev/pandas/issues/66368,open,18,"Bug, Strings, Arrow","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",gautamvarmadatla,2026-07-19T07:50:44Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66255,BUG: Float64 vs float64 incorrect result when using empty slice,https://github.com/pandas-dev/pandas/issues/66255,open,18,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",konvica,2026-07-09T23:48:50Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pydata/xarray,11455,unstack is slow for regular data,https://github.com/pydata/xarray/issues/11455,open,36,"bug, topic-performance",fsspec,"bottleneck, io, performance, slow, speed, speedup, stall, stalled",takluyver,2026-07-17T16:24:16Z,"### What happened? Unstacking an array with a 'regular' MultiIndex, i.e. a cartesian product which doesn't need any missing value handling, is unexpectedly slow. E.g. unstacking (300_000, 1024) -> (10_000, 30, 1024) takes ~660 ms in my test, whereas reshaping the numpy array is massively quicker. ##..."
pydata/xarray,11323,2026.4.0 breaks pickling with backends.scipy_,https://github.com/pydata/xarray/issues/11323,open,30,"bug, topic-backends, contrib-good-first-issue, regression",fsspec,"bottleneck, concurrent, hang, io, stall, stalled",SoundDesignerToBe,2026-05-06T12:13:51Z,### What happened? Switching from 2026.2.0 to 2026.4.0 breaks some pickling backend for netcdf files in multi-processing (concurrent.future.ProcessPoolExecutor). Quoting Claude: > The error is a classic pickle-identity mismatch: the instance's class qualname is `xarray.backends.scipy_._PickleWorkaro...
pydata/xarray,11470,Construction of arrays with `object` dtype very slow when Pandas `future.infer_string` is enabled,https://github.com/pydata/xarray/issues/11470,open,27,"bug, topic-performance",fsspec,"bottleneck, io, slow, stall, stalled",y4n9squared,2026-07-23T15:33:04Z,"### What happened? Constructing a `Variable` (or `Dataset`/`DataArray`) from an object-dtype numpy array of strings takes ~0.1ms per 10M elements under pandas' default settings, but **~500–620ms** with `pd.options.future.infer_string = True` — the setting that becomes the default in pandas 3.0. Why:..."
pydata/xarray,10891,to_zarr with regions does not respect dim names -- only order.,https://github.com/pydata/xarray/issues/10891,open,27,"topic-documentation, topic-zarr",fsspec,"bottleneck, hang, io, stall, stalled",oxinabox,2025-11-03T02:37:32Z,"### What happened? If i have 2 datasets with the same set of coords but in different orders then `to_zarr` writes them to a file in that order, rather than ensuring that the names agree. So reading them out things get swapped around. Oerhaps I am wrong and actually I am explictly opting out of this ..."
pydata/xarray,10950,xarray.load_dataarray fails when loading a DataArray with coordinates via zarr-fsspec,https://github.com/pydata/xarray/issues/10950,open,26,"bug, needs triage",fsspec,"block_size, bottleneck, cache, concurrent, io, stall, stalled, timeout",csubich,2025-11-26T16:18:32Z,"### What happened? When loading a zarr-backed DataArray via a fsspec URL, if the DataArray has coordinates xarray appears to treat the load as a request for a Dataset, not a DataArray. It then seeks to load the coordinate as a distinct variable within the file, where it is not present. This issue do..."
pydata/xarray,11275,Units and calendar attributes of time_bnds are dropped by to_netcdf,https://github.com/pydata/xarray/issues/11275,open,24,"topic-CF conventions, plan to close",fsspec,"bottleneck, io, stall, stalled",briardew,2026-04-01T13:18:02Z,"### What happened? If I define a `time_bnds` variable and denote it with the `bounds` attribute to the `time` variable, sometimes `to_netcdf` will drop the `units` and `calendar` attributes of the `time_bnds` variable. This seems like a bug to me. ### What did you expect to happen? I expected writte..."
pydata/xarray,11178,groupby multiple variables should include observed groups only,https://github.com/pydata/xarray/issues/11178,open,24,"topic-groupby, usage question, plan to close",fsspec,"bottleneck, io, stall, stalled",joshua-gould,2026-02-17T13:25:11Z,"### What happened? Grouping more more than one variable includes combinations with no observations ### What did you expect to happen? Empty groups are not included ### Minimal Complete Verifiable Example ```Python # /// script # requires-python = "">=3.11"" # dependencies = [ # ""xarray[complete]@git+h..."
pydata/xarray,11176,Scalars coordinates have no memory on their DataArray,https://github.com/pydata/xarray/issues/11176,open,24,"design question, usage question",fsspec,"bottleneck, io, stall, stalled",oloapinivad,2026-02-16T16:42:09Z,"### What happened? I am noticing an issue which might be a bug or a feature, but leaves me quite puzzled. I understand that scalar coordinates are transported all together when slicing/selection is operated to make smooth operations across datasets. However, when I have a dataset with two variables ..."
pydata/xarray,11507,"In open_zarr, decode_timedelta does not behave as documented",https://github.com/pydata/xarray/issues/11507,open,19,"bug, topic-zarr","fsspec, gcsfs","bottleneck, io, speed, stall, stalled",theo-xirouchaki,2026-08-11T15:04:19Z,"### What happened? [The documentation](https://docs.xarray.dev/en/stable/generated/xarray.open_zarr.html#xarray.open_zarr) states that, for open_zarr, if decode_timedelta is None it will take the value of decode_times which is True by default. That isn't the behaviour I'm seeing, timedeltas are not ..."
pydata/xarray,11518,"DataSetRolling and DatasetGroupBy silently accept `keepdims`, which modifes shape of the GroupBy output",https://github.com/pydata/xarray/issues/11518,open,17,"bug, needs triage",fsspec,"bottleneck, cache, io, stall, stalled",charles-turner-1,2026-08-13T00:43:53Z,### What happened? > [!NOTE] > I've edited this a bit since I've opened it since I've discovered a bit of a can of worms. I'm trying to figure out if this is a duplicate of other issues now - it wasn't when I started. tldr; `ds.rolling({'time' : 12}).mean(keepdims=False|True)` makes no difference an...
pydata/xarray,11466,StringDType does not roundtrip through zarr,https://github.com/pydata/xarray/issues/11466,open,17,"bug, needs triage",fsspec,"bottleneck, hang, io, stall, stalled",jacksonriley,2026-07-21T15:22:43Z,"### What happened? Hi there, I noticed today that in `xarray>=2026.4.0`, a `Dataset` with a variable of type `np.dtypes.StringDType` does not roundtrip via zarr (you end up with fixed-length UTF32), and this also triggers a warning in Zarr: ``` /usr/local/lib/python3.12/site-packages/zarr/core/dtype..."
pydata/xarray,11329,FutureCancelledError (lost dependencies) during `dask.compute` with `optimize_graph=True` when chaining Dataset.assign,https://github.com/pydata/xarray/issues/11329,open,17,"bug, needs triage",fsspec,"bottleneck, cache, io, stall, stalled",maneesh29s,2026-05-10T06:49:47Z,### What happened? It appears that the High-Level Graph (HLG) optimization fails to correctly resolve dependencies when a variable (like `new_weight` in the example) is used both as an input for a subsequent calculation and as a replacement variable in an intermediate Dataset state. Raised exception...
pydata/xarray,11315,Cannot call .chunk('auto') on DataTree.,https://github.com/pydata/xarray/issues/11315,open,17,"bug, needs triage",fsspec,"bottleneck, cache, io, stall, stalled",BorisTheBrave,2026-04-29T11:24:08Z,"### What happened? Got an error when calling data_tree.chunk('auto') This is pretty frustrating, when `xr.open_datatree` supports it. I would expect both to be equivalent. ### What did you expect to happen? I expect it to succeed, and be equivalent to chunking the dataset, or opening the datatree wi..."
pydata/xarray,11300,`.idxmax()` fails if coordinates are intervals,https://github.com/pydata/xarray/issues/11300,open,17,"bug, needs triage",fsspec,"bottleneck, cache, io, stall, stalled",j-haacker,2026-04-16T08:35:08Z,"### What happened? `<operation including groupby_bins>.idxmax()` raised `TypeError: len() of unsized object` ### What did you expect to happen? It should return the index of the greatest value. ### Minimal Complete Verifiable Example ```Python # /// script # requires-python = "">=3.11"" # dependencies..."
pydata/xarray,11212,"Unable to run groupby, map after shuffle_to_chunks",https://github.com/pydata/xarray/issues/11212,open,17,"bug, needs triage",fsspec,"bottleneck, chunk_size, io, stall, stalled",joshua-gould,2026-03-03T22:02:07Z,"### What happened? ValueError: Array chunk size or shape is unknown. Possible solution with x.compute_chunk_sizes() ### What did you expect to happen? Able to successfully iterate over groups and apply a function ### Minimal Complete Verifiable Example ```Python # /// script # requires-python = "">=3..."
pydata/xarray,11188,DataArray.groupby drops empty coordinates,https://github.com/pydata/xarray/issues/11188,open,17,"bug, topic-groupby",fsspec,"bottleneck, hang, io, stall, stalled",eugene57,2026-02-20T19:10:44Z,"### What happened? When I run groupby on an empty `DataArray`, empty coordinates are dropped. This is is xarray version 2024.10.0. ``` import numpy as np import xarray as xr data = xr.DataArray(np.empty((0, 2)), dims=['x', 'y'], coords={'x': [], 'y': [1, 1]}) print(data.groupby('y').sum()) <xarray.D..."
pydata/xarray,11101,Appending to Zarr store on disk changes dimension metadata,https://github.com/pydata/xarray/issues/11101,open,17,"bug, needs triage",fsspec,"bottleneck, hang, io, stall, stalled",jacobbieker,2026-01-23T14:45:48Z,"### What happened? I am writing lots of geo data to disk in Zarr and Icechunk, usually through appending to a given Zarr store on disk. I noticed that recently, some of the data values have seemed flipped compared to what the dimension says they should be. I've made a minimal example to show this, t..."
pydata/xarray,10968,String type casting error during concatenating,https://github.com/pydata/xarray/issues/10968,open,17,"bug, needs triage, topic-combine",fsspec,"bottleneck, hang, io, stall, stalled",Pietervanhalem,2025-12-02T09:07:55Z,"### What happened? I have a very large number of data sets (6840) that I want to concat over 3 dimensions. An example of one of the dataset is showed below: <img width=""1127"" height=""633"" alt=""Image"" src=""https://github.com/user-attachments/assets/63673f8d-b769-4b55-81ee-9befc6dd8177"" /> I concat wi..."
pydata/xarray,11514,DataTree constructor error message says dict even though dict is not accepted,https://github.com/pydata/xarray/issues/11514,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",mgunyho,2026-08-12T10:54:33Z,"### What happened? When I try to create a `DataTree` with a `dict` as the first argument, I get a TypeError: ``` >>> xr.DataTree(dict()) ... TypeError: data object is not an xarray.Dataset, dict, or None: {} ``` ### What did you expect to happen? A dictionary should be accepted, or the error message..."
pydata/xarray,11460,Unable to roundtrip sharded zarr,https://github.com/pydata/xarray/issues/11460,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",taus,2026-07-20T08:51:10Z,"### What happened? When creating a sharded zarr data set, reopening the dataset looses the sharding information. Shard and chunk sizes are set using `encoding` in to_zarr. When the dataset is reopened the sharding information is disregarded and the zarr chunks are used instead. This results in issue..."
pydata/xarray,11452,Latex labels not rendered under very specific conditions,https://github.com/pydata/xarray/issues/11452,open,14,"bug, topic-plotting",fsspec,"bottleneck, io, stall, stalled",mtrocadomoreira,2026-07-14T15:29:43Z,"### What happened? I was plotting some Datasets with fairly complicated labels and units, and I noticed a very strange behaviour when using the `plot()` method. When both `attrs[""long_name""]` and `attrs[""units""]` contain `\mathrm`'s or `\text`'s, and at least one of them contains a `\frac`, and if t..."
pydata/xarray,11396,np.linalg.pinv of a DataArray results in mismatched coordinates,https://github.com/pydata/xarray/issues/11396,open,14,bug,fsspec,"bottleneck, io, stall, stalled",brsr,2026-06-22T02:11:01Z,"### What happened? In general, `np.linalg.pinv` takes an array of shape (..., n, m) and returns an array of shape (..., m, n). Something isn't recognizing that the last two axes get switched around, so it incorrectly retains the coordinates in the same order. In the attached example, `m1` is an Data..."
pydata/xarray,11368,Cannot reindex onto a stacked MultiIndex via indexers — only reindex_like works,https://github.com/pydata/xarray/issues/11368,open,14,,fsspec,"bottleneck, io, stall, stalled",FBumann,2026-06-01T19:18:17Z,"### What happened? Reindexing a DataArray whose dimension is backed by a stacked `pd.MultiIndex` onto a *different* MultiIndex (e.g. the full index, where the array covers a subset) fails for **every** indexer form: 1. a raw `pd.MultiIndex` as indexer value → `ValueError: unmatched keys found in ind..."
pydata/xarray,11350,Corrupted data when Xarray writes to Zarr Datetime64 dtype,https://github.com/pydata/xarray/issues/11350,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",vladidobro,2026-05-22T19:48:58Z,"### What happened? Hi, when using the new Zarr v3 DateTime64 dtype, I have trouble correctly writing to it with xarray - I have not found a way to write the correct values. I believe it is probably related to some CF coding enabled when it should not be, or something like that. Am I doing something ..."
pydata/xarray,11341,A single nested tuple MultiIndex key is located correctly but preserves the dimension,https://github.com/pydata/xarray/issues/11341,open,14,"bug, topic-indexing",fsspec,"bottleneck, io, stall, stalled",cfriedland5,2026-05-15T19:43:07Z,"### What happened? When selecting from an xarray MultiIndex that has a tuple-valued level, a nested tuple key corresponding to a single location can be located correctly, but the result keeps a length-1 dimension instead of behaving like scalar selection. It is inconsistent that xarray correctly und..."
pydata/xarray,11336,cumulate+argmax uses padded index instead of absolute index,https://github.com/pydata/xarray/issues/11336,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",saschahofmann,2026-05-13T09:53:09Z,"### What happened? The combination of cumulative + argmax does not lead to the (at least from me) expected result. Example: ```python import numpy as np import xarray as xr da = xr.DataArray([1,2,1.5,3.5,4], coords={'time': ('time', np.arange(5))}) da.cumulative('time').argmax() # [4., 4., 3., 4., 4..."
pydata/xarray,11317,concat fails due to StringDtype introduced by pd.Index,https://github.com/pydata/xarray/issues/11317,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",vincentschut,2026-04-29T18:16:29Z,"### What happened? This used to work (a few releases of xarray and/or pandas ago): ```python import xarray as xr import pandas as pd da = xr.DataArray([0], dims=[""dim_a""], coords=dict(dim_a=[""a""])) db = xr.DataArray([0]) # use concat to add a new dimension with coordinate db2 = xr.concat([db], pd.In..."
pydata/xarray,11264,Inconsistent and unexpected results when grouping by more than one coordinate,https://github.com/pydata/xarray/issues/11264,open,14,"bug, API design, topic-groupby",fsspec,"bottleneck, io, stall, stalled",joshua-gould,2026-03-26T13:03:08Z,"### What happened? Grouping by more than one coordinate uses all combinations of coordinates. ### What did you expect to happen? I would expect only the observed combinations to be used. ### Minimal Complete Verifiable Example ```Python # /// script # requires-python = "">=3.11"" # dependencies = [ # ..."
pydata/xarray,11221,`chunks` argument is typed incorrected in `open_zarr`,https://github.com/pydata/xarray/issues/11221,open,14,"contrib-good-first-issue, topic-typing",fsspec,"bottleneck, io, stall, stalled",C-Loftus,2026-03-09T20:30:10Z,### What happened? If you try to type check a project that is using xarray there will be a failure when checking `open_zarr`. It is a best practice not to ignore this since if you do you generally have to ignore all type checking info on the open call which is otherwise useful. This error I believe ...
pydata/xarray,11099,.swap_dims() loses indexes of non-dimension variables,https://github.com/pydata/xarray/issues/11099,open,14,bug,fsspec,"bottleneck, io, stall, stalled",Reshief,2026-01-22T17:47:58Z,"### What happened? A rather obscure issue this time: When trying to rename a few dimensions and variable names of an old dataset, the resulting xarray lost all attributes on other variables in the dataset. More specifically, I could narrow it down to a very specific sequence of steps: 1. We need a d..."
pydata/xarray,11061,`expand_dims` creates `object` dtype for string coordinates instead of inferring string dtype,https://github.com/pydata/xarray/issues/11061,open,14,,fsspec,"bottleneck, io, stall, stalled",dcherian,2025-12-30T22:25:02Z,"### Discussed in https://github.com/pydata/xarray/discussions/11038 <div type='discussions-op-text'> <sup>Originally posted by **etienneschalk** December 19, 2025</sup> # `expand_dims` creates `object` dtype for string coordinates instead of inferring string dtype ## Summary When creating string coo..."
pydata/xarray,10998,Inconsistent behavior for `hue` between scatter and line,https://github.com/pydata/xarray/issues/10998,open,14,"bug, topic-plotting",fsspec,"bottleneck, io, stall, stalled",ianhi,2025-12-08T21:49:55Z,"### What happened? The behavior of `hue` results in different colors `ds.plot.scatter` vs `ds.plot.line` Both docstrings describe hue as: > hue (Hashable, optional) – Dimension or coordinate for which you want multiple lines plotted. If plotting against a 2D coordinate, hue must be a dimension. Whic..."
pydata/xarray,10975,`.sel()` fails on `datetime64[s]` object,https://github.com/pydata/xarray/issues/10975,open,14,"bug, upstream issue",fsspec,"bottleneck, io, stall, stalled",oloapinivad,2025-12-03T09:58:21Z,"### What happened? Hi there, sorry if this might be a duplicate, but I have been browsing the repo without finding anything specific which resemble this. So, I am exploring to the possibility of calling xarray with `CFDatetimeDecoder` on time period overshooting `pandas` threshold year 2262 Running ..."
pydata/xarray,10956,Variious tests fail on x86 (32-bit issues)?,https://github.com/pydata/xarray/issues/10956,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",eli-schwartz,2025-11-28T16:48:58Z,"### What happened? ``` FAILED xarray/tests/test_formatting.py::TestFormatting::test_diff_datatree_repr_equals - assert ""Left and right DataTree objects are not equal\n\nData at node 'node' does not match:\n Differing dimensions:\n (y: 2) != (x: 1, y: 2)\n Differing data variables:\n L data (y) i... ..."
pydata/xarray,10928,Memory overflow when concatenating Dask-backed DataArrays with mixed dtypes (Boolean and Float),https://github.com/pydata/xarray/issues/10928,open,14,"bug, needs triage",fsspec,"bottleneck, io, stall, stalled",josephnowak,2025-11-18T14:45:23Z,"### What happened? I had a process that needed to concatenate a Boolean matrix with a 3D float tensor, and every time I try to run a sum operation over it, it killed all the workers of my cluster. After investigation, I found that the boolean matrix was being converted into an integer before being c..."
pydata/xarray,10911,Maximum value not always included in pcolormesh output when levels are requested,https://github.com/pydata/xarray/issues/10911,open,14,"bug, contrib-help-wanted, topic-plotting",fsspec,"bottleneck, io, stall, stalled",aulemahal,2025-11-12T16:56:36Z,"### What happened? When plotting data with ""pcolormesh"" and requesting levels, if the calculated ""vmax"" if equal to the upper bound of the last bin, it is not included in the map, as if it was ""over"" or ""missing"". ### What did you expect to happen? I expected `values == vmax` to be painted with the ..."
pydata/xarray,11088,"open_mfdataset segfaults when using engine=""netcdf4"" and Prallel=Tru",https://github.com/pydata/xarray/issues/11088,open,11,bug,fsspec,"bottleneck, hang, io",ArielDeVora,2026-01-15T15:02:36Z,"### What happened? When opening a mf_dataset using netcdf4 engine and parallel=True a segmentation fault arises. The whole open_mfdataset and all operations are wrapped in a class inheriting from xr.Dataset. I would like to know whether netcdf4 engine is compatible with parallel=True, or if there ar..."
zarr-developers/zarr-python,4029,VerboseModule cannot be pickled,https://github.com/zarr-developers/zarr-python/issues/4029,open,21,bug,"fsspec, gcsfs, s3fs","cache, hang, io, stall, stalled",vladidobro,2026-06-03T20:43:01Z,"### Zarr version 3.2.1 ### Numcodecs version 0.16.5 ### Python Version 3.12.12 ### Operating System Mac ### Installation using uv run ### Description Hi, I was trying to send zarr.storage.ObjectStore-backed Dask arrays to Dask, and I hit this error. Apparently `zarr.storage`, the module, cannot be p..."
zarr-developers/zarr-python,4217,fully separate sync and async internal APIs,https://github.com/zarr-developers/zarr-python/issues/4217,open,17,,fsspec,"hang, io, latency, performance, slow",d-v-b,2026-07-30T08:37:57Z,"## current state our `Store` API uses _async_ methods for doing IO. In Python today, this is ergonomic for high-latency storage (stuff stored on a server far away), and unergonomic for low-latency storage (stuff stored in memory). similarly, our `Codec` API uses async methods for encoding and decodi..."
zarr-developers/zarr-python,3773,Divergent behavior of memory store and localstore list prefix,https://github.com/zarr-developers/zarr-python/issues/3773,open,15,bug,"fsspec, gcsfs, s3fs","io, stall, stalled",ianhi,2026-03-13T14:55:59Z,### Zarr version main ### Numcodecs version main ### Python Version 3.11 ### Operating System Mac ### Installation uv ### Description Memory Store and Fsspec file system store return different results for `list_prefix` I think that the localstore matches what I would expect ### Steps to reproduce ``...
